ncr_id,title,reference,status,revision,creator,department_creator,updated_by,updated_date,location,description,initial_analysis,data_significant,date_occurrence,cause_of_ncr,close_out_date,reason_closure,disposition,person_responsible,department_responsible,nrb_participant_email,nrb_participant_name,nrb_participant_type,decision_date,decision_type,classification_initiator,classification_confirmer,classification_prima,linked_inspection_id,site,supplier,part_number,severity,opened_at
NCR-2024-001,Shaft Diameter Out of Spec,REF-001,CLOSED,1,John Smith,Quality Control,Jane Doe,2024-01-25,Factory-A Line-1,Shaft diameter measured 15.12mm exceeds maximum specification of 15.05mm,Supplier tooling appears to be out of calibration based on consistent positive deviation,Yes,2024-01-15,Supplier CNC lathe calibration drift detected during audit,2024-01-25,Supplier recalibrated equipment and submitted conforming samples. Verification completed.,Use-as-is with engineering approval,Mike Johnson,Engineering,quality@acmecorp.com,Sarah Lee,Quality Manager,2024-01-20,Accept with deviation,QC-001,QC-002,ENG-001,INS-2024-002,Factory-A,Acme Corp,PN-12346,HIGH,2024-01-15 14:30:00
NCR-2024-002,Undersized Bolt Dimensions,REF-002,CLOSED,1,Bob Wilson,Receiving,Tom Hardy,2024-02-05,Factory-A Receiving,M8 bolts measuring 7.85mm are below minimum specification of 7.95mm,Raw material appears undersized. Batch traceability indicates material lot #MT-8821,Yes,2024-01-17,Supplier used incorrect raw material stock diameter,2024-02-05,Supplier identified root cause as material selection error. New batch submitted and approved.,Rework required,Alice Brown,Supplier Quality,sqe@gammatech.com,Robert Chen,SQE Lead,2024-01-22,Reject,QC-003,SQE-001,OPS-001,INS-2024-004,Factory-A,Gamma Tech,PN-34567,MEDIUM,2024-01-17 10:15:00
NCR-2024-003,Bearing Housing Dimensional Issues,REF-003,OPEN,2,Sarah Lee,Quality Control,John Smith,2024-02-01,Factory-A Line-1,Multiple bearing housings measured oversized at 25.12mm vs spec maximum of 25.05mm,Pattern suggests systematic issue with supplier manufacturing process. Investigation ongoing.,Yes,2024-01-19,Root cause under investigation - suspected fixture wear,,,Pending investigation results,Jane Doe,Quality Engineering,qa@acmecorp.com,Mike Johnson,QA Manager,,,,,INS-2024-006,Factory-A,Acme Corp,PN-12345,HIGH,2024-01-19 08:00:00
NCR-2024-004,Spring Force Below Specification,REF-004,IN_REVIEW,1,Tom Hardy,Testing Lab,Bob Wilson,2024-02-10,Factory-C Test Lab,Spring compression force measured at 120.5N is significantly below minimum spec of 125.0N,Heat treatment process parameters under review. Hardness testing shows values at lower end of acceptable range.,Yes,2024-01-22,Heat treatment furnace temperature profile deviation detected,,,Under engineering review,Robert Chen,Metallurgy,metal@gammatech.com,Dr. Lisa Wang,Metallurgist,2024-01-28,Hold pending analysis,LAB-001,MET-001,ENG-002,INS-2024-009,Factory-C,Gamma Tech,PN-67890,CRITICAL,2024-01-22 13:45:00
NCR-2024-005,Continued Housing Dimension Failures,REF-005,OPEN,1,Mike Johnson,Engineering,Sarah Lee,2024-02-03,Factory-A Line-1,Additional bearing housing failures detected. Related to NCR-2024-003. Pattern continuing despite supplier corrective actions.,Appears to be systemic supplier process control issue requiring comprehensive audit,Yes,2024-01-24,Linked to NCR-2024-003 - comprehensive root cause analysis in progress,,,Supplier audit scheduled 2024-02-15,Jane Doe,Supplier Quality,audit@acmecorp.com,Sarah Lee,Audit Lead,,,,,INS-2024-011,Factory-A,Acme Corp,PN-12345,HIGH,2024-01-24 09:30:00
NCR-2024-006,Oversized Bolt Scrap Required,REF-006,CLOSED,1,Alice Brown,Quality Control,Mike Johnson,2024-02-08,Factory-C Line-1,M8 bolts measuring 8.12mm exceed maximum specification of 8.05mm. Lot requires 100% scrap.,Tool wear evident on supplier manufacturing equipment during containment inspection,Yes,2024-01-26,Worn cutting tool identified. Supplier tool change interval inadequate.,2024-02-08,Supplier implemented improved tool wear monitoring and reduced change intervals. Process capability study completed.,Scrap and replace,Tom Hardy,Manufacturing,production@gammatech.com,Bob Wilson,Production Manager,2024-02-01,Reject and scrap,QC-004,PROD-001,ENG-003,INS-2024-013,Factory-C,Gamma Tech,PN-34567,MEDIUM,2024-01-26 14:00:00
NCR-2024-007,Clutch Plate Friction Below Minimum,REF-007,OPEN,1,Dr. Lisa Wang,Materials Lab,Robert Chen,2024-02-05,Factory-B Test Lab,Clutch plate friction coefficient measured at 97.2% is below minimum specification of 98.0%,Material composition analysis shows variation in friction material density. Supplier process audit recommended.,Yes,2024-01-28,Material mixing process inconsistency suspected. Laboratory analysis ongoing.,,,Containment: 100% inspection implemented,Sarah Lee,Materials Engineering,materials@acmecorp.com,Dr. Lisa Wang,Materials Engineer,2024-02-02,Hold shipment,LAB-002,MAT-001,QC-005,INS-2024-015,Factory-B,Acme Corp,PN-56789,CRITICAL,2024-01-28 11:20:00
NCR-2024-008,Transit Packaging Damage,REF-008,CLOSED,1,Jane Doe,Receiving,Alice Brown,2024-02-07,Factory-A Dock,Gear assemblies received with packaging damage. Internal inspection shows no product damage.,Packaging design inadequate for shipping vibration and handling,No,2024-01-29,Insufficient protective packaging for product weight and fragility,2024-02-07,Supplier upgraded to reinforced packaging with additional foam cushioning. Trial shipment successful.,Accept after inspection,Bob Wilson,Logistics,logistics@betaindustries.com,Jane Doe,Logistics Manager,2024-02-03,Accept,LOG-001,QC-006,OPS-002,,Factory-A,Beta Industries,PN-23456,LOW,2024-01-29 16:00:00
NCR-2024-009,Systematic Supplier Quality Failure,REF-009,OPEN,2,Sarah Lee,Supplier Quality,Mike Johnson,2024-02-08,Factory-A Multiple Lines,Persistent bearing housing quality issues across multiple lots. Supplier audit required to assess process capability and control.,Multiple NCRs (003 and 005) indicate loss of process control. Systemic corrective action required.,Yes,2024-02-01,Supplier quality system breakdown - inadequate process monitoring and preventive maintenance,,,Comprehensive supplier audit scheduled 2024-02-15. All shipments on 100% inspection hold.,Mike Johnson,Executive Quality,exec@acmecorp.com,Director Sarah Lee,Quality Director,2024-02-05,Supplier audit required,EXEC-001,SQE-002,QC-007,INS-2024-018,Factory-A,Acme Corp,PN-12345,CRITICAL,2024-02-01 07:30:00
NCR-2024-010,Surface Finish Inconsistency,REF-010,CLOSED,1,Tom Hardy,Inspection,Jane Doe,2024-02-09,Factory-C Incoming,Washer surface finish shows visible variation in polish quality across batch,Supplier polishing process lacks standardized parameters and acceptance criteria,No,2024-02-02,Inconsistent polishing technique and operator training,2024-02-09,Supplier documented polishing procedures and conducted operator training. Process now stable.,Accept with sort,Alice Brown,Quality,polish@deltasupply.com,Tom Hardy,Quality Tech,2024-02-06,Accept after sort,QC-008,PROD-002,OPS-003,,Factory-C,Delta Supply,PN-45678,LOW,2024-02-02 12:00:00
